"CountyID","CountyName","ReferralYear","Rate","LabelLongitude","LabelLatitude","RateRank"
2,"Alfalfa",2008,0,-98.32320857933,36.7309255630188,14
3,"Atoka",2008,1.06,-96.0420499703509,34.3809870625568,75
4,"Beaver",2008,NA,-100.474745176143,36.7458468405142,438
5,"Beckham",2008,1.17,-99.686661710574,35.2696357540839,83
6,"Blaine",2008,2.44,-98.4243959224942,35.8688113906142,234.5
7,"Bryan",2008,0.71,-96.2558008293072,33.9616831096468,52
8,"Caddo",2008,6.82,-98.3718783669626,35.177793720151,423
9,"Canadian",2008,1.93,-97.9753768794938,35.5340567548489,165.5
10,"Carter",2008,3.44,-97.2729492125733,34.2546712262712,331
11,"Cherokee",2008,1.74,-95.0103824561735,35.9355360744063,138.5
12,"Choctaw",2008,2.08,-95.5473573813567,34.0538123875066,184
13,"Cimarron",2008,0,-102.512063683289,36.7373650133402,14
14,"Cleveland",2008,1.86,-97.3299363042633,35.2012061949784,155.5
15,"Coal",2008,3.41,-96.2861224539074,34.5953455038142,328.5
16,"Comanche",2008,3.73,-98.4691943985634,34.6655369286933,349
17,"Cotton",2008,0,-98.368786919333,34.2918378918678,14
18,"Craig",2008,2.66,-95.2160886407782,36.7853186104569,260.5
19,"Creek",2008,3.98,-96.3651747616148,35.8984115595445,355
20,"Custer",2008,5.2,-98.9947255933091,35.6355925726426,397
21,"Delaware",2008,0.6,-94.8114064665649,36.4330750413896,47
22,"Dewey",2008,1.96,-99.0026276338638,35.9860641060811,172
23,"Ellis",2008,2.17,-99.7541920843861,36.2085544939542,205.5
24,"Garfield",2008,1.14,-97.7785191348422,36.3678657387894,81
25,"Garvin",2008,2.91,-97.3023768608149,34.7103145563251,287
26,"Grady",2008,3.33,-97.8800824410339,35.0140335742845,322.5
27,"Grant",2008,0,-97.7845052708135,36.7906959570334,14
28,"Greer",2008,1.5,-99.5593444200064,34.9427664878966,109.5
29,"Harmon",2008,NA,-99.8462629867067,34.7474029014696,439
30,"Harper",2008,NA,-99.6718629310338,36.7775045477641,440
31,"Haskell",2008,4.07,-95.1194074966018,35.2553093637869,361.5
32,"Hughes",2008,1.92,-96.2384521145052,35.0526183366767,163.5
33,"Jackson",2008,3.04,-99.4153765114804,34.5917941766762,301
34,"Jefferson",2008,3.36,-97.8233420069576,34.1110896977992,326.5
35,"Johnston",2008,0.7,-96.6493986247792,34.3187259845145,50
36,"Kay",2008,1.8,-97.1487308209393,36.8197603838225,149
37,"Kingfisher",2008,2.2,-97.9367093480735,35.934131116842,210
38,"Kiowa",2008,1.96,-98.9722460102744,34.9187670789366,172
39,"Latimer",2008,2.1,-95.2557710119632,34.9067885471894,191.5
40,"Le Flore",2008,0.55,-94.7111774971803,34.9299511687652,41
41,"Lincoln",2008,1.62,-96.8794645451841,35.69193772589,121.5
42,"Logan",2008,2.22,-97.4379547025155,35.9055803786812,217
43,"Love",2008,0,-97.2337960481928,34.0006399600389,14
47,"Major",2008,2.21,-98.524560069483,36.3106916876361,213.5
48,"Marshall",2008,1.17,-96.7563551232226,34.0264118585759,83
49,"Mayes",2008,3.44,-95.2377239906663,36.3337424158728,331
44,"McClain",2008,1.86,-97.4331745941108,35.0031201393918,155.5
45,"McCurtain",2008,0.57,-94.7840344331028,34.1452341840507,44
46,"McIntosh",2008,5.23,-95.6644800921539,35.398840067242,398
50,"Murray",2008,1.5,-97.0572913816591,34.4888457946869,109.5
51,"Muskogee",2008,3.28,-95.3855658011359,35.6427027662025,315.5
52,"Noble",2008,2.65,-97.2279763724569,36.3855065817112,256.5
53,"Nowata",2008,0.88,-95.6260913238725,36.8198423472456,60.5
54,"Okfuskee",2008,3.08,-96.3097295106855,35.4641810903221,304
55,"Oklahoma",2008,2.74,-97.4049770992058,35.5394523331614,271.5
56,"Okmulgee",2008,2.9,-95.9607718994239,35.6570209142237,284.5
57,"Osage",2008,2.42,-96.4045798127983,36.634052844886,232
58,"Ottawa",2008,1.07,-94.8180540321859,36.8552992868479,76.5
59,"Pawnee",2008,2.08,-96.6990049468818,36.3168088803122,184
60,"Payne",2008,1.11,-96.9751478239377,36.0693458141458,80
61,"Pittsburg",2008,1.45,-95.7439797251411,34.9488015969789,105
62,"Pontotoc",2008,2.05,-96.674562329413,34.7307576005793,181
63,"Pottawatomie",2008,4.09,-96.9445206954569,35.3015638806384,365
64,"Pushmataha",2008,2.34,-95.3842741209906,34.4497873058268,224.5
65,"Roger Mills",2008,NA,-99.6999273109391,35.6831343827393,441
66,"Rogers",2008,3.2,-95.6121330018314,36.3979046759883,310.5
67,"Seminole",2008,3.72,-96.6001413613621,35.1681506005071,347.5
68,"Sequoyah",2008,0.36,-94.760490800755,35.5205440172208,33.5
69,"Stephens",2008,2.9,-97.8463715950095,34.4843230918468,284.5
70,"Texas",2008,2.02,-101.477803361668,36.7450721534074,177.5
71,"Tillman",2008,NA,-98.921205231615,34.3753490926514,442
72,"Tulsa",2008,3.28,-95.9428049690609,36.1338366907781,315.5
73,"Wagoner",2008,1.08,-95.5384179113774,35.9858739766272,78
74,"Washington",2008,3.31,-95.9132782566878,36.7270298442834,318.5
75,"Washita",2008,4.78,-98.9917075036666,35.2907305029854,384
76,"Woods",2008,1.85,-98.8729461327617,36.7708675261212,152.5
77,"Woodward",2008,3.65,-99.260005758032,36.416401211778,343.5
1,"Adair",2009,3.23,-94.6641458915974,35.9069668367649,312
2,"Alfalfa",2009,5.46,-98.32320857933,36.7309255630188,402
3,"Atoka",2009,0.35,-96.0420499703509,34.3809870625568,32
4,"Beaver",2009,NA,-100.474745176143,36.7458468405142,443
5,"Beckham",2009,1.56,-99.686661710574,35.2696357540839,117
6,"Blaine",2009,3.25,-98.4243959224942,35.8688113906142,313.5
7,"Bryan",2009,1.07,-96.2558008293072,33.9616831096468,76.5
8,"Caddo",2009,6.51,-98.3718783669626,35.177793720151,418.5
9,"Canadian",2009,1.51,-97.9753768794938,35.5340567548489,114
10,"Carter",2009,4.65,-97.2729492125733,34.2546712262712,380.5
11,"Cherokee",2009,1.22,-95.0103824561735,35.9355360744063,88
12,"Choctaw",2009,3.46,-95.5473573813567,34.0538123875066,333.5
13,"Cimarron",2009,0,-102.512063683289,36.7373650133402,14
14,"Cleveland",2009,2.34,-97.3299363042633,35.2012061949784,224.5
15,"Coal",2009,1.7,-96.2861224539074,34.5953455038142,134
16,"Comanche",2009,3.47,-98.4691943985634,34.6655369286933,335
17,"Cotton",2009,4.01,-98.368786919333,34.2918378918678,357
18,"Craig",2009,0.89,-95.2160886407782,36.7853186104569,62
19,"Creek",2009,2.5,-96.3651747616148,35.8984115595445,240.5
20,"Custer",2009,2,-98.9947255933091,35.6355925726426,175
21,"Delaware",2009,0.75,-94.8114064665649,36.4330750413896,56
22,"Dewey",2009,1.96,-99.0026276338638,35.9860641060811,172
23,"Ellis",2009,0,-99.7541920843861,36.2085544939542,14
24,"Garfield",2009,3.04,-97.7785191348422,36.3678657387894,301
25,"Garvin",2009,2.65,-97.3023768608149,34.7103145563251,256.5
26,"Grady",2009,2.12,-97.8800824410339,35.0140335742845,199.5
27,"Grant",2009,3.34,-97.7845052708135,36.7906959570334,324.5
28,"Greer",2009,2.99,-99.5593444200064,34.9427664878966,295
29,"Harmon",2009,NA,-99.8462629867067,34.7474029014696,444
30,"Harper",2009,NA,-99.6718629310338,36.7775045477641,445
31,"Haskell",2009,1.02,-95.1194074966018,35.2553093637869,70
32,"Hughes",2009,1.92,-96.2384521145052,35.0526183366767,163.5
33,"Jackson",2009,1.93,-99.4153765114804,34.5917941766762,165.5
34,"Jefferson",2009,8.4,-97.8233420069576,34.1110896977992,428.5
35,"Johnston",2009,1.4,-96.6493986247792,34.3187259845145,101
36,"Kay",2009,1.35,-97.1487308209393,36.8197603838225,94.5
37,"Kingfisher",2009,4.4,-97.9367093480735,35.934131116842,372.5
38,"Kiowa",2009,5.88,-98.9722460102744,34.9187670789366,412
39,"Latimer",2009,0,-95.2557710119632,34.9067885471894,14
40,"Le Flore",2009,0.55,-94.7111774971803,34.9299511687652,41
41,"Lincoln",2009,1.89,-96.8794645451841,35.69193772589,158
42,"Logan",2009,1.3,-97.4379547025155,35.9055803786812,90.5
43,"Love",2009,2.1,-97.2337960481928,34.0006399600389,191.5
47,"Major",2009,2.21,-98.524560069483,36.3106916876361,213.5
48,"Marshall",2009,2.34,-96.7563551232226,34.0264118585759,224.5
49,"Mayes",2009,2.86,-95.2377239906663,36.3337424158728,283
44,"McClain",2009,0.74,-97.4331745941108,35.0031201393918,54.5
45,"McCurtain",2009,0.57,-94.7840344331028,34.1452341840507,44
46,"McIntosh",2009,4.65,-95.6644800921539,35.398840067242,380.5
50,"Murray",2009,1.5,-97.0572913816591,34.4888457946869,109.5
51,"Muskogee",2009,1.75,-95.3855658011359,35.6427027662025,140
52,"Noble",2009,1.77,-97.2279763724569,36.3855065817112,146.5
53,"Nowata",2009,1.76,-95.6260913238725,36.8198423472456,143
54,"Okfuskee",2009,3.08,-96.3097295106855,35.4641810903221,304
55,"Oklahoma",2009,2.64,-97.4049770992058,35.5394523331614,252
56,"Okmulgee",2009,4.06,-95.9607718994239,35.6570209142237,359
57,"Osage",2009,1.73,-96.4045798127983,36.634052844886,137
58,"Ottawa",2009,0.21,-94.8180540321859,36.8552992868479,29
59,"Pawnee",2009,1.66,-96.6990049468818,36.3168088803122,125.5
60,"Payne",2009,2.64,-96.9751478239377,36.0693458141458,252
61,"Pittsburg",2009,2.18,-95.7439797251411,34.9488015969789,207.5
62,"Pontotoc",2009,3.08,-96.674562329413,34.7307576005793,304
